supplier_name,product_name,unit_pack_info
,Msafi 1kgX6 V,
,Msafi White 3.5kg Bucket,
,Elianto 1ltrX12,
,Elianto 5ltr X 4,
,Msafi Lavender 3.5kg Bucket,
,Elianto 2ltr X 6,
,Elianto 3ltr X 6,
,Jus 4 Ever Jar 6 x 72 Sachets,
,Veve Mpya Bubblegum 100pcX20,
,Msafi Purple Lavender 1kgX6 V,
,Msafi Lavender 200gm x 24,
,Msafi 200grmX24,
,Oyo Beef Mchuzi Mix 10gX120sachet,
,Msafi Lavender 500grmX12 V,
,Msafi 500grmX12 V,
U Fresh Enterprises,,
,U Fresh Cup 28X200grm V,
,U Fresh Dada Energy 150mlX28 V,
,U Fresh Jelly 60X55ml V,
,U Fresh Calabash 28pc x 130ml,
,Mr Banana 28X130ml V,
,U Fresh Jolly Ice 60X55ml V,
Awadh Distributors,,
,Apple Punch 300mlX24 V,
,Azam Enegy Drink 300mlX24 V,
Diamond Industries Ltd,,
,Sunpride Veg Oil 1X20 Ltr V,
Josclean,,
,Josclean Bar Sop 600gX12pcs,
L.G.Harris Ltd,,
,Broom Stick 1x50 V,
,Dust Pan Exotic 1x60 V,
,Hard Broom Coco C7F 1x24 V,
,Hard Brooms Pvc D4 1x24 V,
,Plastic Deck Pvc 1x36 V A5p,
,Plat Forrm Broom 1x12x24inc V E6,
,Pvc Wooden Stick Threaded 1x50pc V,
,Small Shoe Brush Pvc Black 1x12 V,
,Soft Stif Pvc Brooms 1x24 V C4,
,Sqeeze Complete1x12 V,
,Standing Dustpan Brush Set,
,T Broom 1x24 V,
,Toilet Head & Bowl Turk Head Set B9 1x24 V,
,Turk Head 1x36,
,Wooden Force Pum Small 1x24 V,
Mini Foods Ltd,,
,Bear Biscuit Chocolate Flavor 25g x 30pc,
,Cartoon Biscuit Strawberry Flavor 25g x 30pc,
,Circle Biscuit Milk Flavor 50g x 40pcs,
,Corn Biscuit Milk Flavor 13g x 120pcs,
,Crisp Slice Beef Flavor 25g x 20pc x 5bags,
,Crispy Rolls  Tomato Flavor 13g x 40pc x 5bags,
,Crispy Shells 13g x 40pcs x 5bags,
,Magic Crisp Cumin Beef Flavor 45g x 40pcs,
,Rice Sticks 200g x 25pc x 12bags,
,Round Pancake Chives Flavor 50g x 40pcs,
,Strawberry Biscuit 13g x 120pcs,
,Sweet Balls 50g x 40pcs,
Mzuri Sweets Ltd,,
,Juice Drops Stberry Wth Center Filled 50pc X12pk,
Orange Pharmacy,,
,Chestcof 1X60,
Other Creditors (V),,
,Chef Hat,
,Olive Oil Extra Virgin (P) 1ltX12,
,Tuna Flake 185gX48 V,
,Tuna Flakes 100gX48,
Polmerk Limited,,
,Amaya Soft 2.5*6 V,
,Imara Bleach 5ltrX4,
,Imara Bleach 750mlX12,
Sapna Distributor Ltd (V),,
,Green Olive  1x12,
Supa Brite Ltd,,
,Steel Wool 750gx18 V,
Best Buy,,
,Amar Tomato Paste 800g x 12,
,Cadbury Crunchie 4pk x 10,
,Cadbury Daim Chocolate 3pack 38g x 24,
,Cadbury Fudge 5pk x 20,
,Galaxy Minstrels Chocolate Treat Bag 80g,
,Mj Yellow Musard 12X227ml,
,Mogu Mogu Apple 320ml x 24,
,Mogu Mogu Lychee 320ml x 24,
,Mogu Mogu Melon 320ml x 24,
,Morning Harvest Cornflakes 12X500grm,
,Pep Rose Concentrate 12X500ml,
,Pep Rose Concentrate 12X1ltr,
,Royal Hills Sweetcorn 24X400grm,
,MJ Mayonnaise 947ml x 12,
Naushad Trading,,
,Fresh B soap 12*600grm Cream,
,Mfalme C-Oil 10ltr V,
,Mfalme C-Oil 20ltr V,
,Fresh B soap 48*200g,
Bid Trading (V) Distr,,
,Plates 9' White 20X25ps V,
,Clear Disposable Glasses 300mlX50X25pcs V,
,Plates 11' White 20X25ps V,
,Clear Disposable Glasses 200mlX50x25 Pcs V,
Rushabh Industrie Ltd,,
,Baler Twine 1ply 250mtrX10 Rolls V,
,Baler Twine 1ply 500mtrX15 Roll V,
Brush Manufacturers,,
,Broom Handles Wooden 1X12 V,
,Brush & Bowel Set White 1X12 V,
,Carpet Brush F5 Coco 1x24 V,
,Carpet Brush Natural PVC F2 X24 V,
,Deck Scrubber + Handle V 1X12,
,Dust Pan & Brush Set 1x12,
,Large Metal Socket Mop 1X12 V,
,Scrubbing Brush Pvc 1X24 V,
,Soft Broom + Handle Coco 1X12 V,
,Soft Broom Pvc C3F 1X24,
,Telescopic Cobweb Remover 1x12 V,
,Tooth Pick Hygine 1x10x12,
,Softbroom Coco C5F 1X12,
,Broom Handles Wooden Varnished 1x12,
,Mop Refill Jumbo L3R 1X12 V,
,Straw Hygienic 1x24 V,
,Scrubbing Brush Wooden 1X24 (V),
,Hygienic Wrapped Straws 1 x 48pkt,
New K C C  Ltd,,
,Ghee 1kgX 12,
,Ghee 500grmX 20,
,New Kcc Butter Salted 500gX20 V,
,Kcc Fresh 500ml*12,
,Kcc Fresh 200ml x 21,
Chandaria Ind Ltd,,
,Kentaste Coconut Milk Org 400mlX24 V,
Chandaria Ind (Z),,
,Kentaste Medium Fat Desiccated Coconut 25KG,
,Velvex Cotton Wool 15s 400g,
,Sofy Long Lasting Pads Sachets 16 x 12pads,
,Rosy Cotton Wool 400gX15,
,Velvex Cotton Wool 100gX60,
,Sofy Long Lasting Pads 8 x 5 x 5pads,
,Velvex Cotton Wool 50gX120,
,Velvex Cotton Wool 30s 200g,
Chandaria Ind (V),,
,Handwashing Cream 5litrx4,
,Nice& Soft Serviet Paper 1x60 V,
,Nice & Soft Servittes Paper 1X18 V,
,Photocopying Paper A4 1X5 V,
,Rosy Serviet Paper 18X100 V,
,T.Paper White Pekee 1x40 V,
,T P Rosy White 1x40rolls V,
,Vel Alluminum Foil 45cmX90mX6 V,
,Velvex Alluminium C Foil 45cm-30m V,
,Velvex Alluminium C Foil 45cmx30m 6s,
,Velvex Alluminium C Foil 45cmx90m 6s,
,Velvex Alluminium Foil 45cmX5mX36 V,
,Velvex Cling Film 30cmx300mx30 V,
,Velvex Cling Film 30cmx300mx6s,
,Velvex Cling Film 30cmX30mX24 V,
,Velvex D ashing Liquid Orange 1ltrX6 V,
,Velvex D washing Liquid Lemon 1ltrX6 V,
,Velvex D washing Liquid Ocean Fresh 1ltrX6 V,
,Velvex D washing Liquid Ocean Fresh 500mlX6 V,
,Velvex D washing Liquid Orange 500X6 V,
,Velvex D washing Liquid Original 1ltrX6 V,
,Velvex D washing Liquid Original 500X6 V,
,Velvex White Servittes 1X60 V,
,Vel Kitchen Towel Pink Twin Pack 24s V,
,Kentaste Coconut Milk 400mlX12,
,Velvex Cling Film 30cmX15mX24 V,
,Moth Balls Coloured 1x12pkt V,
,Liquid Multi Purpose 5ltrs V,
,Moth Ball White 1X12pkt V,
